id,type,question,options,answer,tip
18,multiple,"下列情形中，可以依法扣留车辆的有（）。","A. 甲驾驶小汽车上道路行驶，但未放置检验合格标志|B. 乙驾驶的机动车有变造保险标志嫌疑|C. 丙驾驶的小型货车未按照国家规定投保机动车交通事故责任强制保险|D. 丁驾驶电动助力车拒绝接受罚款处罚",ABCD,"💡 记忆技巧：没标、假标、没强险、拒罚款，都可以扣车。"
19,judge,"《道路交通安全法》规定，任何单位或者个人，不得收缴机动车驾驶证。","A. 正确|B. 错误",B,"💡 记忆技巧：只有'公安机关交通管理部门'有权收缴，其他单位和个人不行，题目说'任何单位'太绝对了，错。"
20,judge,"非机动车不经公安机关交通管理部门登记，也可上道路行驶。","A. 正确|B. 错误",B,"💡 记忆技巧：依法应当登记的非机动车（如电动自行车），必须登记才能上路。"
21,judge,"某市人民政府决定将本市范围内的农村道路交通安全管理工作交由交通管理部门负责，符合《道路交通安全法》的规定。","A. 正确|B. 错误",B,"💡 记忆技巧：道路交通安全工作由'公安机关交通管理部门'负责，不是泛指的'交通管理部门'（通常指交通局）。"
22,judge,"根据《道路交通安全法》的规定，除公安机关交通管理部门外，任何单位和个人不得收缴、扣留机动车号牌。","A. 正确|B. 错误",B,"💡 记忆技巧：不得收缴、扣留的是'驾驶证'和'行驶证'，号牌如果违法是可以扣留的（如假牌），且题目表述有误。"
23,judge,"根据《道路交通安全法》的规定，机动车进厂大修的，应当到公安机关交通管理部门办理相应登记。","A. 正确|B. 错误",B,"💡 记忆技巧：大修不用登记，只有'变更颜色、发动机、车身车架'等才需要变更登记。"
24,judge,"达到报废标准的机动车不得上道路行驶。报废的大型客、货车及其他营运车辆应当在公安机关交通管理部门的监督下解体。","A. 正确|B. 错误",A,"💡 记忆技巧：报废车严禁上路，大车营运车必须'监督解体'防止回流。"
25,judge,"交通警察应当对交通事故现场进行勘验、检查，收集证据。对没有道路交通违法行为的事故车辆，不得扣留。","A. 正确|B. 错误",B,"💡 记忆技巧：即使没违法，如果需要'检验鉴定'或者'收集证据'，也是可以扣留车辆的。"
26,judge,"张某自驾游期间，因不熟悉道路违法临时停车，但未影响道路通行，执勤交警小温认定该违法行为情节轻微，指出违法行为，给予口头警告后放行。","A. 正确|B. 错误",A,"💡 记忆技巧：情节轻微 + 未影响通行 + 及时改正 = 口头警告放行（人性化执法）。"
27,judge,"非机动车驾驶人违反道路交通安全法律、法规关于道路通行规定，拒绝接受罚款处罚的，可以予以拘留。","A. 正确|B. 错误",B,"💡 记忆技巧：非机动车拒罚款，可以'扣留非机动车'，不能直接拘留人。"
28,judge,"小张酒后驾驶出租车，被 A 县交警大队处以罚款和暂扣 6 个月机动车驾驶证。","A. 正确|B. 错误",B,"💡 记忆技巧：酒驾'营运'车辆（出租车），直接'吊销'驾照，而不是暂扣。"
29,judge,"甲驾驶汽车与在机动车道内骑自行车的乙发生轻微碰擦，甲与乙互相指责并大打出手，导致主干道路面车辆大量积压，该市公安机关交通管理部门及时对该条主干道实行交通管制，缓解了交通堵塞情况。","A. 正确|B. 错误",B,"💡 记忆技巧：打架导致拥堵，应该疏导交通、处罚打架者，直接对主干道实行'交通管制'（封路）属于反应过度，不符合比例原则。"
30,judge,"贾某因饮酒后驾驶机动车被处罚，之后再次饮酒后在甲市乙区驾驶机动车被查获。对贾某再次饮酒后驾驶机动车的违法行为，应当由甲市公安机关交通管理部门作出行政拘留、罚款和吊销机动车驾驶证的处罚决定。","A. 正确|B. 错误",B,"💡 记忆技巧：二次酒驾 = 拘留 + 罚款 + 吊销。但是，吊销驾照的处罚通常由'设区的市'级以上公安机关交管部门决定，区县大队可能无权直接作出吊销决定（权限问题），且题目表述过于绝对。"
31,judge,"小张驾驶货车超载，A 市交警大队应当对其作出罚款处罚，并将超载车辆扣留至违法状态消除。","A. 正确|B. 错误",A,"💡 记忆技巧：超载必罚，且必须'卸货'（消除违法状态）后才能放行，期间可扣车。"
32,judge,"公安机关交通管理部门拖车可以向当事人收取适当费用，并应当及时告知当事人停放地点。","A. 正确|B. 错误",B,"💡 记忆技巧：交警拖车'不得收费'！这是铁律。"
33,judge,"小张将车辆违法停放在人行道上，A 市交警大队将该车辆进行了拖移，但后来发现机动车因拖移损坏，A 市交警大队应当依法承担补偿责任。","A. 正确|B. 错误",A,"💡 记忆技巧：不当拖车造成损坏，国家要赔偿（补偿）。"
34,judge,"小张驾驶机动车未悬挂机动车号牌，A 市交警大队将其车辆扣留。后小张提供了合法证明，A 市交警大队直接将车辆退还小张。","A. 正确|B. 错误",A,"💡 记忆技巧：扣车是因为嫌疑或违法状态，提供合法证明（如补办了临牌或找到了牌照）消除状态后，应及时退还。"
35,judge,"在道路两侧及隔离带上种植树木，遮挡交通信号灯，妨碍安全视距的，由公安机关交通管理部门责令行为人排除妨碍。","A. 正确|B. 错误",A,"💡 记忆技巧：树挡灯 = 危险，交警有权责令砍枝或移除。"
36,judge,"对道路交通违法行为人予以警告、200 元以下罚款，交通警察可以当场作出行政处罚决定，并出具行政处罚决定书。","A. 正确|B. 错误",A,"💡 记忆技巧：简易程序：警告或 200 元以下罚款，警察叔叔可以当场开单。"
37,judge,"A 市发生一起抢劫案，为抓捕驾车逃跑的抢劫嫌疑人，该市公安机关及时启动“关城门”预案，A 市公安机关交通管理部门对市内主干道采取限制交通的措施，防止犯罪嫌疑人外逃。","A. 正确|B. 错误",A,"💡 记忆技巧：抓逃犯是紧急情况，为了公共安全可以实施交通管制。"
38,judge,"张某驾驶机动车搭载王某，因王某未按规定使用安全带，执勤交警小李决定对王某予以行政处罚。","A. 正确|B. 错误",A,"💡 记忆技巧：谁不系带罚谁。乘客不系带，罚乘客。"
39,single,"区分故意杀人罪与故意伤害罪的关键是（）。","A. 犯罪目的不同|B. 犯罪故意内容不同|C. 打击的部位不同|D. 使用的手段或方法不同",B,"💡 记忆技巧：杀人是想让人死（剥夺生命），伤害是想让人疼（损害健康），核心区别是'故意内容'。"
40,single,"下列哪项行为不构成故意杀人罪？（）","A. 某男与某女相约自杀，欺骗某女先自杀后，该男逃走|B. 某男周某与某女马某通奸多年，某日，周某要马某杀死其夫，马某不同意。周某毒打马某，并砸毁其家中物品，扬言如果马某二日内不能杀死其夫，就要马某自杀，马某不忍心杀夫而自杀身亡|C. 某男强奸某女，引起某女自杀|D. 某人在实施抢劫之后，为了灭口将被害人杀死",C,"💡 记忆技巧：强奸致人自杀，通常定强奸罪（加重情节），不单独定故意杀人，因为杀人故意不明显。其他选项都有明确的杀人故意或间接故意。"
41,single,"钱某欠张某 3 万元钱长期不还。张某不得已将钱某捆绑在自己的空房内，并以拷打等暴力手段逼迫钱某还钱，结果将钱某殴打致死，对张某应当如何处理？（）","A. 绑架罪|B. 非法拘禁罪、故意伤害罪|C. 故意伤害致人死亡罪|D. 故意杀人罪",D,"💡 记忆技巧：索债型非法拘禁中，使用暴力'致死'，转化为'故意杀人罪'（或故意伤害致死，视具体暴力程度，本题标准答案为故意杀人，意味着暴力程度极高或直接追求死亡）。注：司法解释规定非法拘禁使用暴力致人伤残、死亡的，依故意伤害、故意杀人定罪。"
42,single,"下列情形中，应以故意杀人罪定罪判刑的是（）。","A. 刑讯逼供致人死亡的|B. 强迫卖淫致人死亡的|C. 强奸致人死亡的|D. 投毒致人死亡的",A,"💡 记忆技巧：刑讯逼供、暴力取证致人伤残死亡的，法律拟制为'故意伤害/杀人罪'。强奸、强迫卖淫致人死亡通常是该罪的加重情节，不转定杀人罪。投毒致人死亡若危害公共安全定投放危险物质罪。"
43,single,"某甲夜入民宅行窃，被主人发现，某甲便用木棍将主人打昏，携带赃物逃走后，唯恐主人醒后报案，又返回将主人杀死。某甲构成（）。","A. 抢劫罪|B. 伤害罪、抢劫罪、故意杀人罪|C. 故意杀人罪|D. 抢劫罪和故意杀人罪",D,"💡 记忆技巧：先盗窃转抢劫（打昏），后为了灭口又返回杀人。抢劫已完成，杀人另起犯意，数罪并罚。"
44,single,"刘某伙同魏某将与自己有仇的张某杀死后，又当场取得张某随身携带的现金 3000 余元。随后两人又打电话给张某的妻子，声称张某已被绑架，必须于次日中午 12 点将 10 万元现金放在某处，否则杀害张某。张妻立即报警，刘、魏被抓获。关于本案的处理，下列哪一种说法是正确的？（）","A. 以抢劫罪、盗窃罪和绑架罪并罚|B. 以故意杀人罪、盗窃罪和敲诈勒索罪并罚|C. 以故意杀人罪和绑架罪并罚|D. 以故意杀人罪、侵占罪和敲诈勒索罪并罚",B,"💡 记忆技巧：杀人后拿钱是'盗窃'（人死了财物无主占有）；骗家属说绑架要钱是'敲诈勒索'（因为人已经死了，不可能真正绑架，只是利用恐惧心理）。"
45,single,"下列哪种情形应当以故意杀人罪定罪处罚？（）","A. 刑警甲在审讯过程中，刑讯逼供致被害人死亡|B. 乙在抢劫过程中因与被害人发生扭打，失手致被害人死亡|C. 丙绑架人质后因勒索不得，将被害人杀死|D. 丁捏造并散布虚假事实诽谤同学王某，王某想不开自杀",A,"💡 记忆技巧：A 项法律拟制为故意杀人。B 项是抢劫致人死亡（加重）。C 项是绑架杀害被绑架人（加重，死刑）。D 项诽谤致自杀通常不直接定杀人。题目问'以故意杀人罪定罪'，A 是最典型的转化犯。"
46,single,"马某与牛某有仇，其误认为对人体无毒的灭虫药可以致人死亡，即趁牛某家无人之际，将药投入牛家水缸中，牛家七口人食用水后，均感到不适，但无大碍。马的行为构成（）。","A. 故意杀人罪（未遂）|B. 投放危险物质罪（未遂）|C. 投放危险物质罪（既遂）|D. 故意伤害罪",A,"💡 记忆技巧：主观想杀人，客观工具不能犯（迷信犯/工具不能犯），定故意杀人未遂。虽然投毒了，但主观是针对特定人，且药无毒，未危害公共安全。"
47,single,"刘某欲杀死与其有矛盾的李某，用菜刀对其头部砍击数下，李某倒地后，刘某以为李某已死，便迅速逃离。李某被送到医院进行抢救，因医院医疗设备落后，李某经抢救无效死亡。刘某的行为构成（）。","A. 故意杀人罪（未遂）|B. 故意伤害罪|C. 故意杀人罪（既遂）|D. 过失致人死亡罪",C,"💡 记忆技巧：杀人行为 + 死亡结果 = 既遂。中间介入因素（医院设备差）不中断因果关系，只要杀人行为是主要原因。"
48,single,"甲欲开枪杀乙，射击的结果却是导致乙重伤，同时导致乙身边的丙死亡。关于本案，下列哪些说法是正确的？（）","A. 甲的行为应以 1 个故意杀人罪定罪处罚|B. 甲的行为应以故意杀人罪（未遂）和过失致人死亡罪定罪处罚|C. 甲的行为应以故意杀人罪和过失致人重伤罪定罪处罚|D. 甲的行为应以故意杀人罪和故意杀人罪（未遂）实行并罚",A,"💡 记忆技巧：法定符合说。甲想杀人，也杀了人（虽然是丙），在故意杀人罪的范围内重合，定一个故意杀人罪（既遂）。"
49,single,"赵某、续某与张某积怨较深，一直想报复一下张某，续某对张某更是恨之入骨，心里暗藏杀机，但其未告诉赵某。某日，赵某、续某约定共同去教训张某。二人同时对张某进行殴打，致张某死亡。下列说法正确的是（）。","A. 赵某、续某均成立故意杀人罪（既遂），属于共同犯罪|B. 赵某、续某均成立故意伤害罪（致人死亡），属于共同犯罪|C. 赵某成立故意伤害罪（致人死亡），续某成立故意杀人罪（既遂），不属于共同犯罪|D. 赵某成立故意伤害罪（致人死亡），续某成立故意杀人罪（既遂），在故意伤害范围内成立共同犯罪",D,"💡 记忆技巧：部分共同犯罪。赵某只想伤害，续某想杀人。两人在'伤害'的范围内有共识，所以伤害范围内共犯。赵某定伤害致死，续某定杀人。"
50,single,"下列情形中，不应以故意伤害罪、故意杀人罪定罪的是（）。","A. 因刑讯逼供、暴力取证而致人伤残、死亡的|B. 监管人员虐待被监管人，致被监管人伤残、死亡的|C. 因抢劫致人重伤、死亡的|D. 聚众斗殴的过程中致人重伤、死亡的",C,"💡 记忆技巧：抢劫致人重伤死亡是抢劫罪的加重情节，不另定伤害/杀人罪。其他三项法律规定转化为伤害/杀人罪。"
51,single,"甲持刀抢劫出租车，出租车司机奋勇抵抗，搏斗中将甲制服，为防止甲再犯，出租车司机持刀将甲刺成重伤。出租车司机的行为是（）。","A. 故意伤害罪|B. 正当防卫|C. 防卫过当|D. 故意杀人",A,"💡 记忆技巧：不法侵害已经结束（甲被制服了），再刺就是事后防卫，构成故意伤害。"
52,single,"齐某因与胡某有矛盾，欲杀胡某，某夜，趁胡某独自一人在家之机将其杀死，后又从其家中拿走现金 2 万元。对齐某的行为应如何认定？（）","A. 按故意杀人罪处理，取走钱财的行为作为加重情节予以考虑|B. 按抢劫罪的结果加重犯处理|C. 按盗窃罪和故意杀人罪数罪并罚|D. 构成抢劫罪与故意杀人罪，择一重罪处罚",C,"💡 记忆技巧：先杀人（不是为了抢钱），后临时起意拿钱。杀人定杀人罪，拿钱定盗窃罪。数罪并罚。"
53,single,"行为人在实施抢劫行为后，出于灭口的目的而将被害人杀害，对行为人的行为如何认定？（）","A. 抢劫罪的加重情节|B. 抢劫罪|C. 抢劫罪与故意杀人罪并罚|D. 故意杀人罪",C,"💡 记忆技巧：抢劫后'灭口'杀人，另起犯意，数罪并罚。如果是抢劫'过程中'为压制反抗杀人，则是抢劫一罪。"
54,single,"以暴力、威胁方法阻碍行政执法人员依法行使盐业管理职务的，且其非法经营行为已构成犯罪，应当如何处罚？（）","A. 以妨害公务罪从重处罚|B. 以非法经营罪从重处罚|C. 以妨害公务罪和非法经营罪数罪并罚|D. 以妨害公务罪和非法经营罪择一重处",C,"💡 记忆技巧：既非法经营又暴力抗法，两个行为两个罪，数罪并罚。"
55,single,"组织、领导以推销商品、提供服务等经营活动为名，要求参加者以缴纳费用或者购买商品、服务等方式获得加入资格，并按照一定顺序组成层级，直接或者间接以发展人员的数量作为计酬或者返利依据，引诱、胁迫参加者继续发展他人参加，骗取财物，扰乱经济社会秩序的传销活动的应认定为（）。","A. 非法经营罪|B. 诈骗罪|C. 非法集资罪|D. 组织、领导传销活动罪",D,"💡 记忆技巧：拉人头、交入门费、层级计酬 = 传销罪。"
56,single,"行为人伪造、买卖国家机关颁发的野生动物允许进出口证明书、特许猎捕证、狩猎证、驯养繁殖许可证等公文、证件构成犯罪的，同时又构成非法经营罪的，应当如何处罚？（）","A. 按照破坏野生动物资源有关规定从重处罚|B. 按照伪造、买卖国家机关公文、证件罪处罚|C. 依照处罚较重的规定定罪处罚|D. 按照相关犯罪规定数罪并罚",C,"💡 记忆技巧：牵连犯，手段（伪造证件）和目的（非法经营）牵连，择一重罪处罚。"
57,single,"下列情形中，属于自首的是（）。","A. 甲杀人后其父主动报案并将甲送到派出所，甲当即交代了杀人的全部事实和经过|B. 甲和乙共同贪污之后，主动到检察机关交代自己的贪污事实，但未提及乙|C. 甲和乙共同盗窃之后，主动向公安机关反映乙曾经诈骗数千元，经查证属实|D. 甲给监察局打电话，承认自己收受他人 1 万元贿赂，并交代了事情经过，然后出走不知所踪",A,"💡 记忆技巧：亲友送去投案 + 如实供述 = 视为自动投案，算自首。B 没交代同伙不算如实供述；C 是立功；D 跑了不算自动投案。"
58,single,"甲因涉嫌盗窃罪被捕，在侦查人员对其审讯期间，他又交待了自己与李某合伙诈骗 4 万元的犯罪事实，并提供了李某可能隐匿的地点，根据这一线索，侦查机关顺利将李某追捕归案。对甲盗窃罪的处罚，下列哪一项是正确的？（）","A. 应当减轻或者免除处罚|B. 应当从轻或者减轻处罚|C. 可以从轻或者减轻处罚|D. 可以减轻或者免除处罚",C,"💡 记忆技巧：供述不同种罪行（盗窃被抓供诈骗）= 特别自首（可以从轻减轻）；抓同伙 = 立功（可以从轻减轻）。叠加也是可以从轻减轻。注意'应当'和'可以'的区别。"
59,single,"某日，周某和赵某到一歌厅消遣，找来一名女子宋某陪唱歌，周某见宋某姿色不错，提出要陪“出台”（包夜发生性关系），宋某则提出要先给钱方“出台”，周某不愿加钱，宋某即不同意“出台”，周、赵二人即强行将宋某挟持至歌厅一包房内，周某对宋女实施了奸淫，赵某正欲奸淫时，因宋某呼喊求救，惊动保安。二人方才罢休。周某和赵某应当如何处理？（）","A. 周某构成强奸罪，赵某不构成犯罪|B. 周某、赵某均不构成强奸罪|C. 周某构成强奸罪，赵某属强奸未遂|D. 周某、赵某均构成强奸罪的既遂",D,"💡 记忆技巧：共同犯罪，一人既遂，全体既遂。周某得手了，赵某虽然没做成，但也算既遂。"
60,single,"某政府工作人员贾某假冒公安人员，以抓流氓为名，对妇女李某进行胁迫奸淫。对贾某应当（）。","A. 以招摇撞骗罪定罪处罚|B. 以强奸罪定罪处罚|C. 以招摇撞骗罪和强制侮辱妇女罪定罪处罚|D. 以滥用职权罪定罪处罚",B,"💡 记忆技巧：冒充警察强奸，强奸罪更重，且侵犯了性自主权，定强奸罪。招摇撞骗罪不包含强奸。"
61,single,"甲组织一批妇女偷渡到美国，途中，甲想与妇女乙发生性关系，遭拒绝后，将乙强奸。甲的行为（）。","A. 构成强奸罪|B. 构成组织他人偷越国境罪|C. 以强奸罪和组织他人偷越国境罪数罪并罚|D. 构成偷越国境罪",C,"💡 记忆技巧：组织偷渡 + 途中强奸，两个独立行为，数罪并罚。"
62,single,"组织、策划、煽动、教唆、帮助邪教组织人员自杀的，以（）定罪处罚。","A. 故意杀人罪|B. 以危险方法危害公共安全罪|C. 组织、利用邪教组织破坏法律实施罪|D. 故意伤害罪",A,"💡 记忆技巧：教唆帮助别人自杀，法律拟制为故意杀人罪。"
63,single,"甲因和乙口角，持一棍殴打乙，乙被打致左腿骨折（后经鉴定为轻伤），甲见乙倒地不能动弹、反抗，并发现乙放在身旁的提包中有 3000 元现金，乙正要爬过去拿，甲抢先一步将现金拿走。甲的行为构成（）。","A. 故意伤害罪、抢夺罪|B. 抢夺罪|C. 抢劫罪|D. 故意伤害罪、抢劫罪",A,"💡 记忆技巧：先打人（伤害），见人不能动了再拿钱（趁人不备/无法反抗夺取），没有使用暴力压制反抗来取财的意图，定伤害 + 抢夺。"
64,single,"联防队员胡某、宋某见李某形迹可疑，遂将其带回办公室吊打讯问，致李某轻伤。胡、宋的行为（）。","A. 构成刑讯逼供罪|B. 构成暴力取证罪|C. 构成报复陷害罪|D. 构成故意伤害罪",D,"💡 记忆技巧：联防队员不是司法工作人员，不能定刑讯逼供罪。私设公堂打人致伤，定故意伤害罪。"
65,single,"甲现年 15 周岁，某晚潜入居民小区盗得 1000 元财物后随即离开，此时被小区保安乙发现。由于甲身体强壮，乙没有上前将其抓住，而是尾随甲，待甲走到小区大门时，用对讲机呼叫其他保安前来抓人，被甲发现，甲为了抗拒抓捕，将乙打成重伤后逃走。甲的行为（）。","A. 由于甲没有达到法定年龄，因此无罪|B. 构成故意伤害罪|C. 构成抢劫罪|D. 构成盗窃罪和故意伤害罪数罪并罚",B,"💡 记忆技巧：15 岁犯盗窃，为抗拒抓捕当场使用暴力致人重伤。14-16 岁对'转化型抢劫'不负刑事责任，但对'故意伤害致人重伤'负刑事责任。所以定故意伤害罪。"
66,single,"警察甲在审讯一名有盗窃行为的犯罪分子时，得知曾与其有过节的乙与该疑犯有往来，甲为报复，利用此机会将乙叫到派出所，拿出手铐对乙进行恐吓，并对乙拳打脚踢，造成乙多处软组织挫伤，致乙轻伤。甲的行为构成（）。","A. 滥用职权罪|B. 刑讯逼供罪|C. 报复陷害罪|D. 故意伤害罪",D,"💡 记忆技巧：警察报私仇打人，不是为了逼取口供（对象也不是嫌疑人），定故意伤害罪。"
67,single,"甲驾驶前天盗窃来的汽车，被车主发现拦截，甲驾车逃跑，将乙撞成轻伤。某甲的行为应认定为（）。","A. 构成抢劫罪|B. 仅构成盗窃罪|C. 构成盗窃罪和交通肇事罪|D. 构成盗窃罪和故意伤害罪",D,"💡 记忆技巧：盗窃后逃跑撞人，如果不是为了窝藏赃物/抗拒抓捕而故意撞击，通常定盗窃 + 交通肇事/故意伤害。这里撞成轻伤，若定性为故意撞击则故意伤害，若过失则交通肇事（但轻伤不够交通肇事罪门槛），故倾向于盗窃 + 故意伤害（若认定为放任）或仅盗窃（若意外）。题目答案倾向 D，暗示有伤害故意或特定情境。"
68,single,"民警许某在审讯犯罪嫌疑人梅某时，明知天寒地冻，故意不给其衣服穿，任由其被冻，如此审讯两日后，梅某如实交代问题，但脚被冻致重伤，许某构成（）。","A. 故意伤害罪|B. 玩忽职守罪|C. 刑讯逼供罪|D. 徇私枉法罪",A,"💡 记忆技巧：刑讯逼供致人伤残、死亡的，转化为故意伤害/杀人罪。冻成重伤 = 伤残，定故意伤害。"
69,single,"甲男现年 15 周岁，得知丙欠其朋友乙 5000 元赌债，在乙不知的情况下，私自将丙捆绑起来，丙反抗，于是甲男使用暴力将丙打成残废。则甲的行为构成（）。","A. 绑架罪|B. 非法拘禁罪|C. 故意伤害罪|D. 非法拘禁罪与故意伤害罪数罪并罚",C,"💡 记忆技巧：15 岁对非法拘禁不负刑责，但对故意伤害致人重伤（残废）负刑责。索债型拘禁中打人致残，定故意伤害。"
70,single,"某监狱的监管人员胡某指使被监管人李某殴打、虐待同监室的被监管人马某，并导致马某重伤，胡某构成（）。","A. 虐待被监管人员罪|B. 故意伤害罪|C. 滥用职权罪|D. 虐待被监管人员罪和故意伤害罪数罪并罚",B,"💡 记忆技巧：虐待被监管人致人伤残、死亡的，转化为故意伤害/杀人罪。"
